file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,example_corpus,-43.80952690972222,-53.55227895883414,3.8811693907260953,11.443148868500742
F2BJRLP1,0.0,25.309125,example_corpus,-45.820343367246146,-45.8824212679299,3.8354738375048303,8.171336574209546
F2BJRLP3,0.0,30.7068125,example_corpus,-45.99960314229892,-46.88277644031453,3.716452463819298,10.329792916197029
F2BJRLP2,0.0,28.6474375,example_corpus,-45.437677246945896,-45.737741045169415,3.6099060479595213,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,example_corpus,-43.23486209897094,-52.32088646521935,2.7196525242301144,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,example_corpus,-44.83441225032217,-50.929596265157066,2.5633459565624697,12.358243745435463
