file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,example_corpus,-45.93889519952588,-46.484724243883335,5.472701148224702,8.105605499547444
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,example_corpus,-43.77311631944445,-53.59331307044396,3.9073563349244527,11.443148868500742
F2BJRLP3,0.0,30.7068125,example_corpus,-45.94243528166721,-46.876454967694144,3.6427144458271394,10.235460833631313
F2BJRLP2,0.0,28.6474375,example_corpus,-44.92682428010471,-45.79028836188958,3.5754853149429007,7.963719554694521
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,example_corpus,-43.096176036622275,-52.312080970177284,2.7399326278940865,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,example_corpus,-44.70483650128866,-50.90821838378906,2.6474966159972686,12.358243745435463
