file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,example_corpus,-44.5800277867268,-48.659781369295985,4.195209035828334,12.422107757688021
F2BJRLP1,0.0,25.309125,example_corpus,-46.9100929721454,-47.87262932164075,4.148810844701854,7.911589545786118
F2BJRLP2,0.0,28.6474375,example_corpus,-46.5719622600349,-47.547077887398856,4.089632948817761,7.648910850001476
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,example_corpus,-44.210469317493946,-48.42244603083684,3.4938059250210856,11.13029074707532
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,example_corpus,-45.20205729166667,-50.800922687237076,3.4121402233539326,11.42655312425563
F2BJRLP3,0.0,30.7068125,example_corpus,-46.98203455714751,-48.35007122899756,3.1846679989392994,10.344000518674873
